SK_ORDER,SK_CUSTOMER,ID_ORDER,ORD_STATUS,DAT_PURCHASE,DAT_APPROVED,DAT_SHIPPED,DAT_DELIVERED,DAT_ESTIMATED_DELIVERY
94512,30687,a7765f04ecc5f2e0683f08a97ee8174e,delivered,2017-01-29T19:08:00.000Z,2017-01-29T19:31:49.000Z,2017-01-31T16:35:04.000Z,2017-02-08T10:34:01.000Z,2017-03-15T00:00:00.000Z
94513,97664,9fae636d2c51d2a8feb6734c92aa131f,delivered,2018-05-27T23:50:48.000Z,2018-05-28T00:56:16.000Z,2018-05-28T14:09:00.000Z,2018-06-13T02:26:43.000Z,2018-06-29T00:00:00.000Z
94514,30191,d6934136368e34491a21bf8ac9f59aca,delivered,2018-07-01T11:38:25.000Z,2018-07-01T11:55:08.000Z,2018-07-02T14:05:00.000Z,2018-07-09T12:49:46.000Z,2018-07-23T00:00:00.000Z
94515,88572,791a044148a5de3317595143ddcbd844,delivered,2018-01-12T10:56:52.000Z,2018-01-12T11:08:59.000Z,2018-01-15T22:45:01.000Z,2018-01-16T19:06:43.000Z,2018-01-31T00:00:00.000Z
94516,89889,cb76d29d166fc17f9cedf3416285a80c,delivered,2018-02-27T01:52:55.000Z,2018-02-27T02:40:31.000Z,2018-02-28T01:48:44.000Z,2018-03-11T15:42:51.000Z,2018-03-23T00:00:00.000Z
94517,76676,ef8fadadf0fa0193e9b455abf08484ce,delivered,2017-05-02T22:39:55.000Z,2017-05-03T15:35:19.000Z,2017-05-04T14:35:35.000Z,2017-05-11T12:34:10.000Z,2017-05-25T00:00:00.000Z
94518,21688,635ed45a717c546a1bea54c32c7d2ff7,delivered,2018-05-30T14:30:13.000Z,2018-05-30T14:57:24.000Z,2018-06-01T10:37:00.000Z,2018-06-04T18:02:54.000Z,2018-06-25T00:00:00.000Z
94519,69299,3e13370769d925ef48e37780ca13c86e,delivered,2017-10-09T06:31:21.000Z,2017-10-09T07:41:05.000Z,2017-10-13T23:17:48.000Z,2017-10-17T19:18:44.000Z,2017-11-07T00:00:00.000Z
94520,73745,ccf19e37f66c81af8267c46cde40b405,delivered,2017-10-19T11:58:49.000Z,2017-10-20T02:49:38.000Z,2017-10-23T15:03:16.000Z,2017-10-30T15:09:35.000Z,2017-11-10T00:00:00.000Z
94521,29424,f958e896e19b3e92364e0c7b9637c144,delivered,2018-07-25T23:27:28.000Z,2018-07-26T00:25:18.000Z,2018-07-26T12:08:00.000Z,2018-08-02T18:33:45.000Z,2018-08-20T00:00:00.000Z
94522,48571,82ee5cb36361d105c438c357e9926473,delivered,2018-08-20T17:06:21.000Z,2018-08-22T03:55:13.000Z,2018-08-22T14:35:00.000Z,2018-08-27T20:48:25.000Z,2018-09-25T00:00:00.000Z
94523,95466,313fda07432a17eae160b8b9940e6cb3,delivered,2018-03-18T08:07:15.000Z,2018-03-18T08:20:23.000Z,2018-03-19T17:48:27.000Z,2018-03-29T22:12:32.000Z,2018-04-05T00:00:00.000Z
94524,78033,7cddfd6adf258ef9dffd6b2550ce097e,delivered,2017-12-03T18:38:47.000Z,2017-12-03T18:53:42.000Z,2017-12-05T02:23:35.000Z,2017-12-09T16:49:05.000Z,2017-12-28T00:00:00.000Z
94525,67535,79b5579acdaecb745610365f3f181fce,delivered,2018-02-07T22:08:23.000Z,2018-02-07T23:10:25.000Z,2018-02-09T20:12:15.000Z,2018-02-11T13:33:40.000Z,2018-02-23T00:00:00.000Z
94526,29397,09854629eee79bc8d606247198ae822b,delivered,2018-04-24T21:18:31.000Z,2018-04-24T21:30:35.000Z,2018-05-02T08:47:00.000Z,2018-05-08T16:21:56.000Z,2018-05-21T00:00:00.000Z
94527,65151,97d0a7726f58ed266c7501929e1ea81d,delivered,2018-01-03T22:28:58.000Z,2018-01-05T02:34:50.000Z,2018-01-09T01:57:58.000Z,2018-01-11T19:19:34.000Z,2018-01-26T00:00:00.000Z
94528,97650,5a43a71d1ddc76ba951f292c1b4c66c2,delivered,2017-10-26T10:46:21.000Z,2017-10-27T10:55:24.000Z,2017-10-30T20:57:29.000Z,2017-11-03T19:22:58.000Z,2017-11-17T00:00:00.000Z
94529,90741,71df40458537292f7d7fb3a95e0d3786,delivered,2018-04-08T17:56:46.000Z,2018-04-08T18:10:10.000Z,2018-04-09T22:05:33.000Z,2018-04-16T22:56:28.000Z,2018-04-27T00:00:00.000Z
94530,10906,45c780334bc32cb77559a65c5f171160,delivered,2017-12-20T19:20:25.000Z,2017-12-22T02:39:37.000Z,2017-12-22T18:28:29.000Z,2018-01-03T14:07:22.000Z,2018-01-22T00:00:00.000Z
94531,74005,c995be74082b70d3ec06d817e73f7300,delivered,2017-12-03T19:18:56.000Z,2017-12-03T19:33:51.000Z,2017-12-06T13:32:39.000Z,2018-01-04T21:38:48.000Z,2017-12-29T00:00:00.000Z
94532,97631,8287f2f36572998dbbc2c70647bf0b52,delivered,2017-06-28T20:56:02.000Z,2017-06-29T02:50:15.000Z,2017-07-04T15:32:11.000Z,2017-07-07T17:41:58.000Z,2017-07-11T00:00:00.000Z
94533,8806,a09cf5dc57c606eab71f84bffde01a52,delivered,2017-03-16T15:46:58.000Z,2017-03-16T15:46:58.000Z,2017-03-17T18:13:41.000Z,2017-03-28T16:12:50.000Z,2017-04-06T00:00:00.000Z
94534,30702,501e09201e883a7018d34ba1a20e903b,delivered,2018-05-20T17:05:11.000Z,2018-05-20T17:15:21.000Z,2018-05-23T14:53:00.000Z,2018-05-24T17:38:39.000Z,2018-06-04T00:00:00.000Z
94535,7759,fb4ac2c3fe6b4c0499e23ecf1cd6a462,delivered,2018-03-14T17:58:16.000Z,2018-03-14T18:10:34.000Z,2018-03-16T22:39:45.000Z,2018-04-09T20:37:56.000Z,2018-04-03T00:00:00.000Z
94536,79903,b211f8c759ee7993a37f65cf5c9fa72e,delivered,2017-07-06T16:34:55.000Z,2017-07-06T16:45:10.000Z,2017-07-07T15:37:40.000Z,2017-07-08T13:53:43.000Z,2017-07-19T00:00:00.000Z
94537,65736,3b2285d4d80f742f34cc959e041722a9,delivered,2018-01-22T14:29:31.000Z,2018-01-22T14:38:22.000Z,2018-01-24T00:05:07.000Z,2018-01-31T23:22:47.000Z,2018-02-16T00:00:00.000Z
94538,96491,6a12aff9ecb91c4cf18469bf42ccdc0d,delivered,2018-02-06T09:43:39.000Z,2018-02-08T07:50:33.000Z,2018-02-14T23:32:42.000Z,2018-02-20T00:23:07.000Z,2018-03-06T00:00:00.000Z
94539,87649,b8a33fa5ef27e365f04703b899401762,delivered,2018-07-03T12:20:30.000Z,2018-07-05T16:32:43.000Z,2018-07-04T15:09:00.000Z,2018-07-13T17:28:43.000Z,2018-08-01T00:00:00.000Z
94540,12227,bb8f873e2d4e898546ba92f7febc7b34,delivered,2018-06-18T11:33:07.000Z,2018-06-20T02:55:39.000Z,2018-06-20T20:11:00.000Z,2018-06-21T17:58:28.000Z,2018-07-05T00:00:00.000Z
94541,21365,e90ec4b6b234181833371ada5474c96b,delivered,2017-04-19T22:50:00.000Z,2017-04-19T23:02:15.000Z,2017-04-20T09:49:57.000Z,2017-05-03T14:47:34.000Z,2017-05-12T00:00:00.000Z
94542,58207,d779d1f64c00cb888484f4b2f5eab951,delivered,2017-12-15T15:23:33.000Z,2017-12-15T15:35:17.000Z,2017-12-18T19:03:17.000Z,2018-01-04T22:47:52.000Z,2018-01-24T00:00:00.000Z
94543,67246,abd23f048bf60025ad66f8cf56c85379,shipped,2017-03-11T13:37:51.000Z,2017-03-11T13:37:51.000Z,2017-03-17T16:23:34.000Z,"",2017-04-18T00:00:00.000Z
94544,75060,2f4011790ff902584d5b011f0e35ff1d,delivered,2018-05-03T11:14:13.000Z,2018-05-04T11:32:44.000Z,2018-05-04T12:50:00.000Z,2018-05-09T19:52:10.000Z,2018-05-25T00:00:00.000Z
94545,28204,5d7d786de9467c8066634d0e7a4a0961,delivered,2018-05-08T14:42:20.000Z,2018-05-08T14:55:50.000Z,2018-05-11T19:51:00.000Z,2018-05-14T15:18:34.000Z,2018-05-18T00:00:00.000Z
94546,96409,9e730e42ec63989bb7af89311765b6ad,delivered,2017-11-28T14:26:50.000Z,2017-11-30T14:19:24.000Z,2017-12-05T21:57:29.000Z,2017-12-19T19:05:42.000Z,2017-12-22T00:00:00.000Z
94547,17660,4589d66e35f0ae1a3235cccdc7c4ae8e,delivered,2017-12-30T14:08:09.000Z,2017-12-31T14:06:49.000Z,2018-01-03T23:34:39.000Z,2018-01-09T20:19:12.000Z,2018-01-29T00:00:00.000Z
94548,12192,b8da35a90e134b3b031c6acfe029acaa,delivered,2018-05-05T21:38:46.000Z,2018-05-05T21:55:20.000Z,2018-05-07T15:25:00.000Z,2018-05-18T11:52:06.000Z,2018-06-06T00:00:00.000Z
94549,10513,17b2f07a5bf720ce92d905520ff1dd7f,shipped,2017-05-29T17:20:26.000Z,2017-05-30T04:30:20.000Z,2017-06-01T12:05:02.000Z,"",2017-06-09T00:00:00.000Z
94550,45525,765442de6466c0bb079c22b8b20e0eab,delivered,2017-01-09T17:50:06.000Z,2017-01-09T18:05:45.000Z,2017-01-10T10:53:44.000Z,2017-01-13T08:53:45.000Z,2017-02-17T00:00:00.000Z
94551,74578,e4cae0f91047eab49c97f44ca3a8ba69,delivered,2018-06-09T21:36:13.000Z,2018-06-09T21:50:57.000Z,2018-06-11T13:13:00.000Z,2018-06-15T20:46:34.000Z,2018-07-18T00:00:00.000Z
94552,95718,2cacb668babd0da39adc48af2e2fa715,delivered,2017-12-26T15:48:03.000Z,2017-12-26T15:56:18.000Z,2017-12-27T19:49:09.000Z,2018-01-12T22:33:27.000Z,2018-01-15T00:00:00.000Z
94553,74732,478116017852df9d1ac392abcf28927f,delivered,2018-08-24T13:59:41.000Z,2018-08-24T14:24:25.000Z,2018-08-30T14:58:00.000Z,2018-09-03T17:18:42.000Z,2018-08-29T00:00:00.000Z
94554,64712,08edeac38b68f66bf2e8c3701badde1c,delivered,2018-04-26T10:24:58.000Z,2018-04-28T02:51:35.000Z,2018-05-04T15:54:00.000Z,2018-05-18T19:48:58.000Z,2018-06-04T00:00:00.000Z
94555,95521,93634466f99307a62d5d4d34689562b8,delivered,2018-01-28T21:28:02.000Z,2018-01-28T21:35:28.000Z,2018-01-31T17:09:02.000Z,2018-02-09T20:24:38.000Z,2018-02-21T00:00:00.000Z
94556,62970,4a7f6dd027d9a492108f77d26d69e304,delivered,2017-11-12T16:54:03.000Z,2017-11-12T17:07:00.000Z,2017-11-16T13:42:58.000Z,2017-11-18T00:20:59.000Z,2017-11-29T00:00:00.000Z
94557,3880,fb91d387f95f0f748d5a6db913bfcabf,delivered,2017-12-14T05:27:09.000Z,2017-12-14T05:35:38.000Z,2017-12-14T17:07:30.000Z,2018-01-03T22:58:39.000Z,2018-01-12T00:00:00.000Z
94558,61237,1b2db2aab76c9c5abd0f6538ca507016,delivered,2017-11-24T01:32:22.000Z,2017-11-24T01:48:25.000Z,2017-11-24T19:02:41.000Z,2017-12-07T19:27:09.000Z,2017-12-19T00:00:00.000Z
94559,72155,bb787d6e68f079fbf94e8df39219086d,delivered,2018-06-26T09:18:41.000Z,2018-06-26T09:37:51.000Z,2018-06-26T13:27:00.000Z,2018-07-04T20:22:33.000Z,2018-07-26T00:00:00.000Z
94560,43557,3c7aa341aa20519a2530c8ea5763f265,delivered,2018-08-20T22:52:08.000Z,2018-08-20T23:09:31.000Z,2018-08-21T13:09:00.000Z,2018-08-24T23:31:06.000Z,2018-08-30T00:00:00.000Z
94561,62761,0c3e491fe8f99458825a93daa40f4401,delivered,2018-02-19T10:06:49.000Z,2018-02-19T10:27:45.000Z,2018-02-21T18:23:27.000Z,2018-02-27T18:03:47.000Z,2018-03-13T00:00:00.000Z
94562,67731,d6c897633f14d2c71e22c530ae9f0a11,delivered,2017-03-30T22:15:10.000Z,2017-03-30T22:30:10.000Z,2017-03-31T14:51:06.000Z,2017-04-04T13:37:52.000Z,2017-04-19T00:00:00.000Z
94563,80872,4b23422a153d74fd8d5b29e7fd978a4e,delivered,2017-12-15T11:52:23.000Z,2017-12-15T12:11:15.000Z,2017-12-15T20:14:12.000Z,2017-12-18T16:49:13.000Z,2018-01-04T00:00:00.000Z
94564,20176,7cc699da1cc98ea6349ae005feae3906,delivered,2018-03-04T13:33:14.000Z,2018-03-04T13:49:14.000Z,2018-03-05T17:32:31.000Z,2018-03-17T22:22:46.000Z,2018-04-02T00:00:00.000Z
94565,13758,9c7bac99c8e380b1c915cdba1ff29e65,delivered,2017-04-25T07:18:53.000Z,2017-04-25T07:35:09.000Z,2017-04-25T13:50:05.000Z,2017-05-16T09:41:54.000Z,2017-05-16T00:00:00.000Z
94566,37237,f4fd0ed2cc0f9629efac77ea04bbe4b1,delivered,2017-05-08T01:36:38.000Z,2017-05-08T01:45:13.000Z,2017-05-09T17:56:09.000Z,2017-05-22T12:52:38.000Z,2017-06-05T00:00:00.000Z
94567,15166,9a9958a5b85d3a8dc6b52dd8c79b516b,delivered,2018-01-30T10:56:40.000Z,2018-01-30T11:15:51.000Z,2018-01-30T23:17:57.000Z,2018-02-09T22:58:39.000Z,2018-03-06T00:00:00.000Z
94568,95913,1a0d6a2456874a5f2af72c611a6f90a8,delivered,2018-01-15T19:40:05.000Z,2018-01-15T19:52:24.000Z,2018-01-19T17:53:07.000Z,2018-01-26T19:06:31.000Z,2018-02-05T00:00:00.000Z
94569,22517,97eb8123f2508dda8d9234f0aca79572,delivered,2018-04-13T14:54:22.000Z,2018-04-13T15:13:22.000Z,2018-04-19T00:37:33.000Z,2018-04-24T16:12:09.000Z,2018-05-02T00:00:00.000Z
94570,74739,cfeeea2d9febd146693ff38c33b0b2b8,delivered,2018-03-30T15:54:59.000Z,2018-03-30T16:47:19.000Z,2018-04-02T21:14:46.000Z,2018-04-03T13:38:48.000Z,2018-04-12T00:00:00.000Z
94571,44587,f0031384d36ff045ee1e866942d0fa7a,delivered,2018-08-23T00:07:26.000Z,2018-08-23T00:24:27.000Z,2018-08-23T12:41:00.000Z,2018-08-28T17:21:51.000Z,2018-10-05T00:00:00.000Z
94572,61201,2e2b335489d4f06ec73386262189e7fe,delivered,2017-12-28T10:11:01.000Z,2017-12-28T10:19:29.000Z,2017-12-29T19:32:55.000Z,2018-01-18T16:51:59.000Z,2018-01-17T00:00:00.000Z
94573,50374,e48bb443eafd409648c33de1ad435eb8,delivered,2017-04-05T13:40:28.000Z,2017-04-06T02:45:19.000Z,2017-04-06T13:42:47.000Z,2017-04-12T16:15:12.000Z,2017-04-28T00:00:00.000Z
94574,87030,61bed2065e5b6ac35f5c04d33bf9d320,delivered,2018-07-18T21:40:06.000Z,2018-07-19T02:50:15.000Z,2018-07-19T15:29:00.000Z,2018-07-26T18:49:58.000Z,2018-08-07T00:00:00.000Z
94575,70883,aa62e1d89af0554cdcb6a75d86ddb961,delivered,2018-06-27T12:29:25.000Z,2018-06-27T12:49:49.000Z,2018-06-29T14:32:00.000Z,2018-07-02T16:59:37.000Z,2018-07-13T00:00:00.000Z
94576,30941,2be5d3a5d64ca31f9d583f261fa19585,delivered,2018-05-16T17:10:16.000Z,2018-05-16T17:37:56.000Z,2018-05-17T14:31:00.000Z,2018-05-23T18:11:47.000Z,2018-05-28T00:00:00.000Z
94577,85242,ef160b1ef2464ef2521274c790ee0cef,delivered,2017-09-18T15:07:49.000Z,2017-09-18T15:32:48.000Z,2017-09-18T21:26:42.000Z,2017-09-19T18:25:18.000Z,2017-09-28T00:00:00.000Z
94578,95400,8c855550908247a7eff50281b92167a8,delivered,2018-05-22T13:36:02.000Z,2018-05-22T13:54:37.000Z,2018-05-25T13:25:00.000Z,2018-06-08T18:03:31.000Z,2018-06-29T00:00:00.000Z
94579,32852,25148bab087c1b9453abd98860a89993,delivered,2017-06-21T17:59:41.000Z,2017-06-22T02:10:29.000Z,2017-06-26T09:57:02.000Z,2017-06-27T21:05:30.000Z,2017-07-04T00:00:00.000Z
94580,84893,b38103e665600114e3155ab60ee0ef70,delivered,2018-07-22T18:02:20.000Z,2018-07-23T12:32:12.000Z,2018-07-24T15:50:00.000Z,2018-07-27T18:03:03.000Z,2018-08-09T00:00:00.000Z
94581,40110,4e91282187f8ed281081528372cee70a,delivered,2017-03-24T17:27:01.000Z,2017-03-24T17:27:01.000Z,2017-03-27T12:33:03.000Z,2017-04-10T11:57:12.000Z,2017-04-17T00:00:00.000Z
94582,46382,a4eb9fa781defbbdd53c5864fc4802fc,delivered,2017-07-12T14:27:33.000Z,2017-07-12T14:43:41.000Z,2017-07-13T15:54:02.000Z,2017-07-16T03:37:54.000Z,2017-07-25T00:00:00.000Z
94583,72766,a3b2f732ed4ec79b2aa8ac4a897122a6,delivered,2017-12-12T08:30:31.000Z,2017-12-12T08:38:25.000Z,2017-12-13T19:52:00.000Z,2017-12-22T19:22:39.000Z,2018-01-08T00:00:00.000Z
94584,89600,23a0c1ef37b1e2599235e834bbb55673,delivered,2017-07-17T06:54:05.000Z,2017-07-17T07:05:15.000Z,2017-07-19T01:12:26.000Z,2017-09-19T16:39:58.000Z,2017-08-04T00:00:00.000Z
94585,51804,611ef72664b4aee2a96a05d91c92ae1d,delivered,2018-03-21T14:39:28.000Z,2018-03-21T14:50:39.000Z,2018-03-22T21:28:53.000Z,2018-03-26T16:08:37.000Z,2018-04-09T00:00:00.000Z
94586,16691,a1c5606e8638ab41b56420e4c1f4bc21,invoiced,2018-05-03T13:41:50.000Z,2018-05-03T13:52:38.000Z,"","",2018-06-08T00:00:00.000Z
94587,53456,640d4902b5f77f0c87caeb40fbf900ed,delivered,2018-06-09T00:19:14.000Z,2018-06-09T00:38:52.000Z,2018-06-12T12:39:00.000Z,2018-06-13T19:06:44.000Z,2018-06-20T00:00:00.000Z
94588,53479,52cb5ef0eb334c9b6c21119fc55f608c,delivered,2017-07-10T10:41:38.000Z,2017-07-10T10:55:11.000Z,2017-07-12T20:19:25.000Z,2017-07-13T19:15:31.000Z,2017-07-28T00:00:00.000Z
94589,26221,5a9c1337a1f6bb21e46fc043cf2c26c5,delivered,2018-02-20T14:36:42.000Z,2018-02-20T14:51:19.000Z,2018-02-22T01:16:47.000Z,2018-03-01T02:44:47.000Z,2018-03-16T00:00:00.000Z
94590,9222,51f25abb96730e972d30b6fb22e2cde8,delivered,2017-12-16T19:03:00.000Z,2017-12-16T19:15:29.000Z,2017-12-19T19:44:37.000Z,2018-01-11T19:09:42.000Z,2018-01-23T00:00:00.000Z
94591,31865,a837f579a39778e37f946ab3a520a814,delivered,2017-05-03T18:50:08.000Z,2017-05-03T19:02:20.000Z,2017-05-11T10:54:47.000Z,2017-05-15T08:53:59.000Z,2017-05-26T00:00:00.000Z
94592,2955,6173dae95360eed7428f6b826b9b5a66,delivered,2018-02-05T14:48:17.000Z,2018-02-05T15:11:32.000Z,2018-02-16T17:12:16.000Z,2018-02-19T18:27:09.000Z,2018-03-09T00:00:00.000Z
94593,479,44112147d25b4af5a31f9ae1fbf07793,delivered,2017-12-05T23:49:53.000Z,2017-12-05T23:59:30.000Z,2017-12-09T17:54:26.000Z,2018-01-03T21:26:48.000Z,2018-01-05T00:00:00.000Z
94594,48665,163fcb371458c9705276afbd04c365ce,delivered,2018-01-30T14:10:05.000Z,2018-01-30T14:31:20.000Z,2018-02-03T03:54:46.000Z,2018-02-09T20:17:57.000Z,2018-02-23T00:00:00.000Z
94595,46803,6536870177386f1b5e859b2a5ccc557e,delivered,2017-05-22T08:19:53.000Z,2017-05-22T08:30:14.000Z,2017-05-26T10:54:03.000Z,2017-06-05T12:37:46.000Z,2017-06-26T00:00:00.000Z
94596,53886,fdf3b97e92962b8843c67a2c85c21f58,delivered,2017-07-05T00:20:08.000Z,2017-07-06T00:25:17.000Z,2017-07-06T14:08:03.000Z,2017-07-15T13:32:10.000Z,2017-08-03T00:00:00.000Z
94597,84655,12788af294f51dd5ba2aaed208a45969,delivered,2017-09-15T10:49:09.000Z,2017-09-15T11:05:43.000Z,2017-09-22T17:32:32.000Z,2017-10-02T21:52:30.000Z,2017-10-09T00:00:00.000Z
94598,84722,e87aa2b0086ab1f74f1faa822186807c,delivered,2017-04-11T18:09:20.000Z,2017-04-11T18:22:48.000Z,2017-04-18T15:28:21.000Z,2017-04-26T14:33:23.000Z,2017-05-22T00:00:00.000Z
94599,19559,015fb6b5f739788434fa690540f90f19,invoiced,2017-01-31T13:06:05.000Z,2017-02-02T02:41:22.000Z,"","",2017-03-09T00:00:00.000Z
94600,71129,1db10009e008df42edeea48899edf595,delivered,2017-10-04T17:57:37.000Z,2017-10-04T18:07:15.000Z,2017-10-05T19:44:57.000Z,2017-10-23T18:48:16.000Z,2017-11-03T00:00:00.000Z
94601,41422,8855b61b1a878f28cde9bbc55ca6fbf2,delivered,2018-07-05T19:08:03.000Z,2018-07-05T19:31:09.000Z,2018-07-10T08:52:00.000Z,2018-07-20T18:18:30.000Z,2018-08-01T00:00:00.000Z
94602,94977,489243ea0f23a5849516cc651afa4325,delivered,2017-05-31T22:38:57.000Z,2017-05-31T22:50:15.000Z,2017-06-05T13:22:24.000Z,2017-06-13T10:44:37.000Z,2017-06-21T00:00:00.000Z
94603,93032,57c2914d78f0d7f4b76089b7844e77ea,delivered,2017-07-11T20:58:08.000Z,2017-07-11T21:36:01.000Z,2017-07-13T13:04:13.000Z,2017-07-14T20:42:14.000Z,2017-07-26T00:00:00.000Z
94604,26897,0fe7e34c13cf8781647bd4cfe053099e,delivered,2017-06-28T15:31:47.000Z,2017-06-28T15:44:13.000Z,2017-07-11T21:02:59.000Z,2017-07-24T16:41:33.000Z,2017-08-07T00:00:00.000Z
94605,80082,368a807c54f9394cce9b885904db58ee,delivered,2018-07-09T15:40:48.000Z,2018-07-09T15:50:18.000Z,2018-07-10T14:18:00.000Z,2018-07-25T20:03:30.000Z,2018-08-14T00:00:00.000Z
94606,61538,0ef774beb58a475478121bd8277abf6a,delivered,2017-06-27T23:17:52.000Z,2017-06-27T23:30:15.000Z,2017-06-29T13:21:37.000Z,2017-07-04T16:05:58.000Z,2017-07-28T00:00:00.000Z
94607,6446,69152feaafd64d08f0aa216e5f3c5a5b,delivered,2017-12-01T15:36:54.000Z,2017-12-01T16:00:16.000Z,2017-12-05T01:04:52.000Z,2017-12-14T12:47:06.000Z,2017-12-28T00:00:00.000Z
94608,22333,93942353ebd22541194b59e590c0d7de,unavailable,2017-02-08T13:32:00.000Z,2017-02-08T13:42:35.000Z,"","",2017-03-17T00:00:00.000Z
94609,2242,a5d65a8f94a1020f43ab5107168d43d3,delivered,2018-02-11T08:14:07.000Z,2018-02-11T08:28:24.000Z,2018-02-15T19:14:03.000Z,2018-02-20T21:28:42.000Z,2018-03-07T00:00:00.000Z
94610,94557,54a906c3e69c5c9196b82c2722bf40c4,delivered,2018-05-18T08:04:22.000Z,2018-05-18T08:15:10.000Z,2018-05-18T14:24:00.000Z,2018-05-21T12:35:25.000Z,2018-06-01T00:00:00.000Z
94611,90778,9758e655b4d2fca01c69a4dde9d4fb5b,delivered,2017-01-21T09:44:46.000Z,2017-01-22T09:55:06.000Z,2017-01-26T14:05:25.000Z,2017-01-30T10:39:16.000Z,2017-03-14T00:00:00.000Z
94612,47041,8c038fb4554281ef77e4f7c448295fd7,delivered,2017-10-20T16:36:14.000Z,2017-10-20T17:49:25.000Z,2017-10-24T11:28:36.000Z,2017-10-27T16:03:38.000Z,2017-11-13T00:00:00.000Z
94613,55415,a338e253d44a1df47d96f51106cf74dc,delivered,2018-01-02T01:18:47.000Z,2018-01-02T01:28:21.000Z,2018-01-04T23:45:07.000Z,2018-01-08T21:59:13.000Z,2018-01-23T00:00:00.000Z
94614,28684,023efd060c082063e299dc77891ea1b7,delivered,2017-11-14T12:43:54.000Z,2017-11-15T02:46:13.000Z,2017-11-17T22:14:39.000Z,2017-11-22T17:16:42.000Z,2017-11-29T00:00:00.000Z
94615,55293,f0244e08fea1e1ff13958db3e71c5f36,delivered,2017-11-29T02:16:59.000Z,2017-11-29T02:40:48.000Z,2017-11-30T00:33:24.000Z,2017-12-07T15:52:44.000Z,2017-12-29T00:00:00.000Z
